x,y,stimulus,gender,blank_loop.thisRepN,blank_loop.thisTrialN,blank_loop.thisN,blank_loop.thisIndex,scrambled_loop.thisRepN,scrambled_loop.thisTrialN,scrambled_loop.thisN,scrambled_loop.thisIndex,happy_loop.thisRepN,happy_loop.thisTrialN,happy_loop.thisN,happy_loop.thisIndex,sad_loop.thisRepN,sad_loop.thisTrialN,sad_loop.thisN,sad_loop.thisIndex,angry_loop.thisRepN,angry_loop.thisTrialN,angry_loop.thisN,angry_loop.thisIndex,neutral_loop.thisRepN,neutral_loop.thisTrialN,neutral_loop.thisN,neutral_loop.thisIndex,happy_loop2.thisRepN,happy_loop2.thisTrialN,happy_loop2.thisN,happy_loop2.thisIndex,sad_loop2.thisRepN,sad_loop2.thisTrialN,sad_loop2.thisN,sad_loop2.thisIndex,angry_loop2.thisRepN,angry_loop2.thisTrialN,angry_loop2.thisN,angry_loop2.thisIndex,netral_2.thisRepN,netral_2.thisTrialN,netral_2.thisN,netral_2.thisIndex,scrambled_loop2.thisRepN,scrambled_loop2.thisTrialN,scrambled_loop2.thisN,scrambled_loop2.thisIndex,blank_loop2.thisRepN,blank_loop2.thisTrialN,blank_loop2.thisN,blank_loop2.thisIndex,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,POFA/fMRI_POFA/072a.tif,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,b,0.6732341108818218,16-fanny,001,2020_May_10_1548,emofaces,3.0.1,63.98954155405664,
,,POFA/fMRI_POFA/021a.tif,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,c,0.6888373503761613,16-fanny,001,2020_May_10_1548,emofaces,3.0.1,63.98954155405664,
,,POFA/fMRI_POFA/047a.tif,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,8,,,,,,,,,,,,,,,,,,,b,1.2046240970194049,16-fanny,001,2020_May_10_1548,emofaces,3.0.1,63.98954155405664,
,,POFA/fMRI_POFA/041a.tif,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,7,,,,,,,,,,,,,,,,,,,c,2.2202199042080792,16-fanny,001,2020_May_10_1548,emofaces,3.0.1,63.98954155405664,
,,POFA/fMRI_POFA/028a.tif,m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,6,,,,,,,,,,,,,,,,,,,c,1.189053064179916,16-fanny,001,2020_May_10_1548,emofaces,3.0.1,63.98954155405664,
,,POFA/fMRI_POFA/013a.tif,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,3,,,,,,,,,,,,,,,,,,,b,0.8608513245253562,16-fanny,001,2020_May_10_1548,emofaces,3.0.1,63.98954155405664,
,,POFA/fMRI_POFA/056a.tif,f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,b,0.7513345411421142,16-fanny,001,2020_May_10_1548,emofaces,3.0.1,63.98954155405664,
,,POFA/fMRI_POFA/021c.tif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,7,,,,,,,c,2.345370010224542,,,,,,,,,16-fanny,001,2020_May_10_1548,emofaces,3.0.1,63.98954155405664,
,,POFA/fMRI_POFA/013c.tif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,9,,,,,,,b,0.5327033806015606,,,,,,,,,16-fanny,001,2020_May_10_1548,emofaces,3.0.1,63.98954155405664,
,,POFA/fMRI_POFA/006c.tif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,8,,,,,,,c,0.5170042289814774,,,,,,,,,16-fanny,001,2020_May_10_1548,emofaces,3.0.1,63.98954155405664,
